year,G,Y,C
1995,1.141743e12,7.639749e12,4.96259e12
1996,1.172889e12,8.073122e12,5.244596e12
1997,1.220528e12,8.577554457e12,5.53679e12
1998,1.267607e12,9.062818202e12,5.877248e12
1999,1.351427e12,9.631174489e12,6.283758e12
2000,1.437588e12,1.0250947997e13,6.767179e12
2001,1.538151e12,1.0581929774e13,7.073801e12
2002,1.645819e12,1.0929112955e13,7.348941e12
2003,1.746378e12,1.1456442041e13,7.740749e12
2004,1.85192e12,1.2217193198e13,8.23196e12
2005,1.962027e12,1.3039199193e13,8.769066e12
2006,2.072953e12,1.3815586948e13,9.277236e12
2007,2.198532e12,1.4474226905e13,9.746594e12
2008,2.35344e12,1.4769857911e13,1.0050083e13
2009,2.433429e12,1.4478064934e13,9.891218e12
2010,2.511047e12,1.5048964444e13,1.0260256e13
2011,2.511311e12,1.5599728123e13,1.0698857e13
2012,2.515439e12,1.625397223e13,1.1047363e13
2013,2.530745e12,1.6843190993e13,1.1388233e13
2014,2.562276e12,1.7550680174e13,1.187445e13
2015,2.603988e12,1.8206020741e13,1.2297438e13
2016,2.653374e12,1.8695110842e13,1.2726849e13
2017,2.715714e12,1.9477336549e13,1.3290626e13
2018,2.859732e12,2.0533057312e13,1.3934442e13
2019,3.014914e12,2.1380976119e13,1.4417614e13
2020,3.178287e12,2.1060473613e13,1.4206231e13
2021,3.366271e12,2.331508056e13,1.6042964e13
2022,3.570077e12,2.5604848907611e13,1.7511745e13
